










































































































新冠病毒肺炎,标题,网址,来源,日期,对新闻标题和内容评分
中国肺炎疫情实时动态,丁香园网络战“疫”公益项目,http://www.china.com.cn/opinion/2021-01/10/content_77099444.htm,中国网,2021-01-10,0
中国肺炎疫情实时动态,关于进一步严格精准科学 加强疫情防控工作的通知,http://www.thepaper.cn/newsDetail_forward_10725772,澎湃新闻,2021-1-9,0
中国肺炎疫情实时动态,1月8日河北省新冠肺炎疫情防控工作新闻发布会文字实录,https://new.qq.com/omn/20210109/20210109A0578A00.html,腾讯网,2021-1-9,10
中国肺炎疫情实时动态,王普清出席省政府新冠肺炎疫情防控新闻发布会并回答记者提问,https://baijiahao.baidu.com/s?id=1688375476568249691&amp;wfr=spider&amp;for=pc,潇湘晨报,2021-1-9,10
中国肺炎疫情实时动态,警惕!河北本轮疫情呈现3大特点|石家庄核酸检测“火眼”连夜建成|...,http://www.thepaper.cn/newsDetail_forward_10728737,澎湃新闻,2021-1-9,15
中国肺炎疫情实时动态,宜君县新冠肺炎疫情防控专题会召开,http://news.cnwest.com/tongchuan/a/2021/01/08/19421339.html,西部网（陕西新闻网）,2021-1-8,15
中国肺炎疫情实时动态,【美国最新疫情动态:美国累计确诊病例突破2211万例、死亡人数超37...,https://www.fx168.com/fx168_t/2101/4555544.shtml,FX168财经网,2021-1-8,30
中国肺炎疫情实时动态,"河北省新增51例,其中2人曾在山西活动!",https://new.qq.com/omn/20210107/20210107a096mp00.html,腾讯网,2021-1-7,25
中国肺炎疫情实时动态,升级实时疫情简报 新病例风险随手查,http://new.qq.com/omn/ENT20190/20210107A05HLA00.html,腾讯网,2021-1-7,5
中国肺炎疫情实时动态,"疫情交通管控,多家快递公司和网店暂停向河北石家庄等地发货",https://sports.huanqiu.com/article/41PrbpmsWDP,环球网,2021-1-7,5
新冠病毒肺炎,标题,网址,来源,日期,对新闻标题和内容评分
中国肺炎疫情实时动态,丁香园网络战“疫”公益项目,http://www.china.com.cn/opinion/2021-01/10/content_77099444.htm,中国网,2021-01-10,0
中国肺炎疫情实时动态,关于进一步严格精准科学 加强疫情防控工作的通知,http://www.thepaper.cn/newsDetail_forward_10725772,澎湃新闻,2021-1-9,0
中国肺炎疫情实时动态,1月8日河北省新冠肺炎疫情防控工作新闻发布会文字实录,https://new.qq.com/omn/20210109/20210109A0578A00.html,腾讯网,2021-1-9,10
中国肺炎疫情实时动态,王普清出席省政府新冠肺炎疫情防控新闻发布会并回答记者提问,https://baijiahao.baidu.com/s?id=1688375476568249691&amp;wfr=spider&amp;for=pc,潇湘晨报,2021-1-9,10
