地区,标题,网址,来源,日期,对新闻标题和内容评分
中国肺炎疫情实时动态,丁香园网络战“疫”公益项目,http://www.china.com.cn/opinion/2021-01/10/content_77099444.htm,中国网,2021-01-10,0
中国肺炎疫情实时动态,关于进一步严格精准科学 加强疫情防控工作的通知,http://www.thepaper.cn/newsDetail_forward_10725772,澎湃新闻,2021-1-9,0
中国肺炎疫情实时动态,1月8日河北省新冠肺炎疫情防控工作新闻发布会文字实录,https://new.qq.com/omn/20210109/20210109A0578A00.html,腾讯网,2021-1-9,10
中国肺炎疫情实时动态,警惕!河北本轮疫情呈现3大特点|石家庄核酸检测“火眼”连夜建成|...,http://www.thepaper.cn/newsDetail_forward_10728737,澎湃新闻,2021-1-9,10
中国肺炎疫情实时动态,"证据确凿!国内多地疫情反扑,大批人疯狂囤货",https://baijiahao.baidu.com/s?id=1688308794484136552&amp;wfr=spider&amp;for=pc,超拼视频购,2021-1-8,15
中国肺炎疫情实时动态,新冠肺炎疫情防控常态化个人防护 | 出门防护安全提醒,http://www.thepaper.cn/newsDetail_forward_10724405,澎湃新闻,2021-1-8,15
中国肺炎疫情实时动态,江西省新冠肺炎疫情防控工作新闻发布会(第二十八场)在南昌举行,http://www.jiangxi.gov.cn/art/2021/1/8/art_5862_3045674.html,江西省人民政府网,2021-1-8,5
中国肺炎疫情实时动态,"王东峰在河北省应对新冠肺炎疫情工作领导小组扩大会议上强调,科学...",http://www.thepaper.cn/newsDetail_forward_10703588,澎湃新闻,2021-1-7,5
中国肺炎疫情实时动态,集宁区新冠肺炎疫情防控指挥部四十八号公告——关于进一步加强...,http://www.thepaper.cn/newsDetail_forward_10694348,澎湃新闻,2021-1-7,40
中国肺炎疫情实时动态,"河北省新增51例,其中2人曾在山西活动!|太原市疾控中心|疫情防控|...",http://new.qq.com/omn/ENT20190/20210107A096MP00.html,腾讯网,2021-1-7,20
地区,标题,网址,来源,日期,对新闻标题和内容评分
中国肺炎疫情实时动态,丁香园网络战“疫”公益项目,http://www.china.com.cn/opinion/2021-01/10/content_77099444.htm,中国网,2021-01-10,0
中国肺炎疫情实时动态,关于进一步严格精准科学 加强疫情防控工作的通知,http://www.thepaper.cn/newsDetail_forward_10725772,澎湃新闻,2021-1-9,0
中国肺炎疫情实时动态,1月8日河北省新冠肺炎疫情防控工作新闻发布会文字实录,https://new.qq.com/omn/20210109/20210109A0578A00.html,腾讯网,2021-1-9,10
中国肺炎疫情实时动态,警惕!河北本轮疫情呈现3大特点|石家庄核酸检测“火眼”连夜建成|...,http://www.thepaper.cn/newsDetail_forward_10728737,澎湃新闻,2021-1-9,10
